Year,Country,Units,Source,Electricity Generation (GWh)
2010,China,GWh,Solar PV,699
2015,China,GWh,Solar PV,44783
2018,China,GWh,Solar PV,176901
1990,India,GWh,Solar PV,NA
1995,India,GWh,Solar PV,1
2000,India,GWh,Solar PV,2
2005,India,GWh,Solar PV,3
2010,India,GWh,Solar PV,126
2015,India,GWh,Solar PV,10420
2019,India,GWh,Solar PV,50557
1990,Japan,GWh,Solar PV,67
1995,Japan,GWh,Solar PV,106
2000,Japan,GWh,Solar PV,357
2005,Japan,GWh,Solar PV,1421
2010,Japan,GWh,Solar PV,3543
2015,Japan,GWh,Solar PV,34803
2019,Japan,GWh,Solar PV,74114
1990,Russian Federation,GWh,Solar PV,NA
1995,Russian Federation,GWh,Solar PV,NA
2000,Russian Federation,GWh,Solar PV,NA
2005,Russian Federation,GWh,Solar PV,NA
2010,Russian Federation,GWh,Solar PV,NA
2015,Russian Federation,GWh,Solar PV,335
2019,Russian Federation,GWh,Solar PV,985
1990,United States,GWh,Solar PV,3
1995,United States,GWh,Solar PV,4
2000,United States,GWh,Solar PV,183
2005,United States,GWh,Solar PV,524
2010,United States,GWh,Solar PV,3063
2015,United States,GWh,Solar PV,32091
2019,United States,GWh,Solar PV,93129
1990,World,GWh,Solar PV,91
1995,World,GWh,Solar PV,197
2000,World,GWh,Solar PV,800
2005,World,GWh,Solar PV,3732
2010,World,GWh,Solar PV,32038
2015,World,GWh,Solar PV,250076
2018,World,GWh,Solar PV,554382
1990,China,GWh,Solar thermal,NA
1995,China,GWh,Solar thermal,NA
2000,China,GWh,Solar thermal,NA
2005,China,GWh,Solar thermal,NA
2010,China,GWh,Solar thermal,2
2015,China,GWh,Solar thermal,27
2018,China,GWh,Solar thermal,300
1990,India,GWh,Solar thermal,NA
1995,India,GWh,Solar thermal,NA
2000,India,GWh,Solar thermal,NA
2005,India,GWh,Solar thermal,NA
2010,India,GWh,Solar thermal,NA
2015,India,GWh,Solar thermal,NA
2019,India,GWh,Solar thermal,NA
1990,Japan,GWh,Solar thermal,NA
1995,Japan,GWh,Solar thermal,NA
2000,Japan,GWh,Solar thermal,NA
2005,Japan,GWh,Solar thermal,NA
2010,Japan,GWh,Solar thermal,NA
2015,Japan,GWh,Solar thermal,NA
2019,Japan,GWh,Solar thermal,NA
1990,Russian Federation,GWh,Solar thermal,NA
1995,Russian Federation,GWh,Solar thermal,NA
2000,Russian Federation,GWh,Solar thermal,NA
2005,Russian Federation,GWh,Solar thermal,NA
2010,Russian Federation,GWh,Solar thermal,NA
2015,Russian Federation,GWh,Solar thermal,NA
2019,Russian Federation,GWh,Solar thermal,NA
1990,United States,GWh,Solar thermal,663
1995,United States,GWh,Solar thermal,824
2000,United States,GWh,Solar thermal,526
2005,United States,GWh,Solar thermal,596
2010,United States,GWh,Solar thermal,879
2015,United States,GWh,Solar thermal,3544
2019,United States,GWh,Solar thermal,4517
1990,World,GWh,Solar thermal,663
1995,World,GWh,Solar thermal,824
2000,World,GWh,Solar thermal,526
2005,World,GWh,Solar thermal,597
2010,World,GWh,Solar thermal,1645
2015,World,GWh,Solar thermal,9605
2018,World,GWh,Solar thermal,11321
1990,China,GWh,Wind,2
1995,China,GWh,Wind,64
2000,China,GWh,Wind,615
2005,China,GWh,Wind,2028
2010,China,GWh,Wind,44623
2015,China,GWh,Wind,185767
2018,China,GWh,Wind,365801
1990,India,GWh,Wind,32
1995,India,GWh,Wind,529
2000,India,GWh,Wind,1684
2005,India,GWh,Wind,6211
2010,India,GWh,Wind,19657
2015,India,GWh,Wind,35075
2019,India,GWh,Wind,66008
1990,Japan,GWh,Wind,NA
1995,Japan,GWh,Wind,3
2000,Japan,GWh,Wind,108
2005,Japan,GWh,Wind,1751
2010,Japan,GWh,Wind,4016
2015,Japan,GWh,Wind,5580
2019,Japan,GWh,Wind,7502
